13645,4,9
19242,11,8
8806,19,6
3245,19,3
1556,15,7
-6676,3,9
-13196,-5,12
-13373,-17,11
-11241,-19,15
-4598,-18,11
5573,-15,11
7356,-5,9
11850,4,7
17824,9,6
16841,19,6
10616,19,5
3804,19,4
-441,14,5
-10610,4,6
-15942,-6,7
-11990,-17,11
-5894,-19,13
-1007,-19,12
9989,-14,13
12215,-2,12
12241,10,9
12916,19,9
11240,19,8
5611,19,9
-4344,12,8
-8125,2,9
-12414,-7,9
-8270,-16,10
-3659,-18,10
419,-16,12
-6159,-7,10
6301,-8,8
13368,-2,8
7543,13,5
10370,19,8
11669,19,5
2752,19,7
-9300,19,5
-9453,-1,7
-8644,-19,13
-10260,-19,17
1722,-19,16
4512,-18,16
12785,-5,13
16560,5,10
11745,16,7
8945,19,8
3958,19,7
1329,14,8
-4903,4,10
-9496,-8,11
-8750,-19,12
-7458,-18,14
-3981,-19,11
5193,-14,10
7307,-5,9
11931,4,6
15868,10,5
15872,19,6
8540,19,5
2477,19,3
-2179,14,5
-10756,3,8
-13276,-17,9
-8608,-19,13
-4043,-19,14
-545,-19,11
7893,-10,13
7905,2,12
5806,13,9
9260,18,11
8124,17,10
3003,14,10
-3347,0,8
-7151,-7,10
-9950,-11,8
-2456,-14,12
-375,-16,11
-3437,-11,10
2825,-9,10
5797,-4,7
6557,5,7
7498,16,8
10171,19,7
6986,19,7
-2797,19,6
-8354,8,9
-8965,-17,12
-9931,-19,16
-1484,-19,16
4424,-19,15
10602,-13,13
12477,0,10
13297,9,6
11379,19,7
2473,19,5
371,17,7
-2991,4,10
-10100,-5,13
-11980,-16,12
-6564,-17,13
-4293,-17,11
4717,-14,11
5724,-5,8
6449,2,5
10834,8,4
11968,15,4
9512,19,6
1835,19,6
-762,14,6
-7481,5,6
-12176,-14,9
-9631,-18,12
-4300,-19,13
1992,-19,12
9860,-12,13
9896,1,12
7199,11,9
9283,16,11
5196,19,10
1571,15,10
-3531,6,8
-6853,-6,8
-8584,-11,7
-3146,-13,10
-402,-14,12
-255,-13,11
3432,-10,10
6956,-5,9
6808,3,5
8380,14,7
7577,19,7
4749,19,6
-2337,19,6
-8450,9,7
-12804,-5,10
-13560,-19,16
-8762,-19,16
480,-19,16
7641,-15,15
13417,-3,13
17455,7,10
17973,15,7
10011,19,6
2388,19,2
-2688,17,6
-8225,2,11
-13741,-19,13
-14233,-19,15
-11217,-19,16
-3917,-19,12
7216,-15,11
8165,-2,9
15426,7,8
19432,13,6
17880,19,4
10895,19,4
-2901,12,6
-12976,0,7
-17459,-10,8
-12864,-19,11
-11757,-19,11
-8472,-19,13
-2902,-19,14
8093,-15,11
11928,14,8
14461,19,8
12343,19,6
3205,19,6
-5284,17,7
-11766,2,6
-12915,-10,11
-16956,-15,10
-12174,-19,11
-3805,-17,13
2580,-10,13
5805,-6,9
14648,0,8
13472,14,8
15803,19,6
15498,19,7
2538,19,4
-5997,19,7
-11718,0,7
-12147,-16,10
-14180,-19,15
-3097,-19,17
2161,-19,15
11917,-9,14
19805,2,10
19275,15,7
12794,19,8
6787,19,5
2331,19,5
-4613,10,7
-10171,-2,11
-10653,-19,12
-11572,-19,15
-7798,-19,11
3501,-19,11
3619,-8,9
9753,1,8
16915,8,6
15379,19,6
13364,19,7
5603,19,4
1611,18,4
-8063,7,7
-16043,-5,9
-12967,-19,11
-9664,-19,14
-952,-19,13
6437,-16,13
5177,-1,10
7500,11,10
10741,17,11
8375,19,10
6261,18,10
665,4,8
-4938,4,8
-8075,-10,10
-5392,-15,11
-2786,-16,11
-524,-17,10
2640,-13,10
3621,-6,8
5635,2,7
9726,11,8
7054,19,6
9443,19,7
925,19,6
-8008,14,5
-9963,0,9
-11117,-12,10
-8085,-19,16
260,-19,16
9576,-19,17
7921,-7,9
16018,6,11
11922,17,7
6153,19,5
-358,19,7
-4325,12,7
-4951,0,13
-14224,-8,11
-9360,-16,15
-8139,-14,11
4059,-15,13
5351,-9,9
9916,0,10
10901,6,4
13219,12,4
13374,18,7
5828,19,5
2175,16,7
-4581,8,5
-10492,0,6
-11052,-11,8
-6719,-18,12
3085,-19,12
8413,-17,14
6352,-3,9
7629,7,9
7454,13,10
5115,17,12
1802,14,11
-553,6,9
-4523,2,9
-9571,0,6
-6494,-8,7
-6116,-11,8
-2953,-11,10
344,-14,9
5784,-15,9
4605,3,8
8544,8,6
5915,18,6
4977,19,7
2893,19,7
-3327,11,5
-10332,2,8
-13923,-9,12
-10070,-19,13
-6386,-19,16
-490,-19,19
1602,-18,16
12637,-11,13
12036,14,8
10997,19,8
5392,19,5
-2408,18,9
-7506,5,8
-9503,-10,9
-12027,-16,15
-11446,-19,12
-5599,-19,15
-4427,-14,10
10277,-2,7
11273,7,5
12643,13,5
9274,17,3
8279,19,7
999,17,6
-5464,10,8
-10520,0,9
-16795,-8,8
-12083,-16,10
-9031,-19,10
3201,-19,13
6333,-6,10
9578,3,11
7710,10,8
8711,16,11
5825,15,10
827,11,12
-4209,5,10
-8944,0,8
-10057,-4,9
-9276,-9,9
-5410,-11,10
-2856,-13,11
3252,-17,8
7559,0,10
10123,6,6
9829,16,5
9908,19,6
4734,19,5
-663,16,5
-6241,6,6
-9002,-6,10
-9672,-18,12
-7000,-19,15
-3435,-19,18
104,-19,17
5354,-12,15
15037,5,9
14440,16,7
10657,19,7
4149,19,4
-7207,19,5
-11788,5,6
-13740,-10,10
-15412,-19,12
-9631,-19,14
-12764,-19,15
8856,-12,11
11129,0,7
16761,13,9
18075,16,5
14374,19,5
6263,19,5
-1747,19,5
-5152,7,7
-14600,-4,8
-16434,-14,12
-11848,-19,12
-3804,-19,14
294,-17,13
12696,-11,11
17200,1,10
13504,15,8
15355,19,8
11122,19,5
532,19,7
-6452,14,5
-10093,-1,5
-14446,-10,9
-12364,-19,12
-6715,-19,11
-3102,-17,14
3893,-13,9
11629,-5,9
14932,6,10
14448,18,9
16706,19,5
11648,19,4
-341,19,5
-10829,16,7
-16619,-17,11
-17448,-19,14
-11017,-19,16
-6372,-19,17
704,-19,16
9085,-8,14
18093,1,9
26496,13,11
20248,19,6
3673,19,5
-7419,17,6
-15557,0,10
-17987,-18,10
-14654,-19,16
-13980,-19,14
-7536,-19,16
-3376,-19,10
14200,2,8
17197,12,5
21728,19,5
18216,19,3
8880,19,5
-239,19,2
-6027,7,4
-13255,-6,8
-15861,-18,8
-12800,-19,11
-9530,-19,13
-2331,-17,9
6599,-4,10
11732,7,10
9659,17,9
10138,19,11
5683,19,10
-1826,18,9
-5212,8,5
-6416,-2,7
-8979,-10,9
-9865,-15,10
-5909,-19,12
-4531,-18,9
3776,-10,9
9020,1,10
10427,10,8
9753,19,7
10705,19,8
3064,19,5
-4606,19,4
-8318,5,8
-12764,-8,11
-10117,-19,12
-6965,-19,16
-928,-19,16
6405,-14,12
15100,-2,13
11752,11,9
11342,19,9
7173,19,7
1416,19,8
-7056,11,7
-9829,-2,9
-8483,-13,13
-10740,-19,13
-8093,-19,14
2048,-14,10
6317,-5,7
9295,3,6
10302,10,4
9999,19,6
6361,19,5
3371,19,8
-6568,12,7
-12178,3,7
-12486,-6,10
-12798,-17,9
-4860,-19,13
5434,-16,13
6961,-7,11
6995,2,9
