-1856,-4,11
6372,-3,12
13781,1,13
21553,2,15
20408,3,13
16820,4,12
11137,4,12
5079,3,10
-3967,2,10
-11299,-1,10
-12110,-8,10
-15803,-12,10
-18007,-8,11
-7518,-8,9
895,-3,9
5437,3,7
14185,6,7
17712,5,6
16804,8,7
16231,8,9
13900,3,9
7846,0,9
-771,-1,10
-6769,-2,10
-10718,-2,9
-15115,-2,7
-16784,-2,6
-13043,-3,7
-14460,-2,10
-5963,-5,10
774,-6,13
5346,-6,15
8409,-5,15
13793,-4,16
12401,0,14
12455,3,12
12464,4,9
7023,5,6
1560,6,6
-3524,3,5
-9266,2,4
-13820,1,6
-15856,-1,7
-14932,-3,7
-10152,-3,9
-5214,-3,10
1652,-4,8
8713,-2,12
12184,0,12
16805,2,13
19393,3,12
18128,4,12
15598,4,11
9532,2,9
2768,2,8
-6324,2,9
-12510,0,9
-15721,-6,11
-18079,-8,12
-13609,-8,12
-4134,-9,11
3413,-7,11
8040,1,10
12790,5,8
19656,5,6
20375,9,6
17149,10,8
14599,2,9
9181,-1,10
88,-1,10
-3972,-4,9
-7544,-2,7
-16160,0,6
-13620,0,5
-8499,-1,5
-8866,0,6
-3975,0,9
2389,-5,12
3894,-4,13
6853,-3,14
12187,-2,14
13888,0,12
11926,3,10
9220,4,8
5955,3,7
232,4,7
-3612,2,6
-9307,0,6
-12927,0,7
-15044,-1,6
-11175,-2,7
-7460,-2,8
-2836,-3,10
3793,-5,10
8063,-3,11
12089,0,12
16016,2,13
14711,4,12
15091,5,12
10879,5,11
4241,3,10
-1405,-1,11
-13358,-4,12
-13133,-10,12
-11279,-12,12
-12519,-8,13
-9319,-7,13
291,-9,12
5916,-3,10
8761,4,9
15828,5,7
19613,5,7
15800,8,8
11077,2,8
5065,0,8
-3135,-1,9
-7096,-3,9
-10359,-4,8
-14277,-2,5
-15045,-1,5
-10044,-1,7
-9652,0,7
-8870,0,11
-3482,-3,12
2465,-6,13
7296,-6,14
9898,-3,12
13684,2,10
8789,6,8
7261,6,6
4308,4,6
-2571,5,7
-9513,3,6
-10324,0,7
-15347,0,7
-18468,0,7
-13534,-2,8
-10005,-4,8
-6800,-3,10
-1155,-3,11
7435,-4,12
13820,-3,12
14721,6,13
17456,4,12
14568,5,11
5916,5,11
2200,2,11
-4858,-3,10
-11813,-5,12
-14724,-8,11
-12854,-13,12
-12079,-10,13
-3854,-6,10
4849,-4,9
7225,4,7
12967,6,7
17458,5,6
16310,6,7
12661,8,8
11820,3,8
7524,0,9
-2154,-1,10
-6692,-2,10
-11996,-4,7
-13300,-3,7
-13149,0,6
-11660,0,8
-10015,-2,9
-3903,-3,12
2773,-7,13
7865,-8,14
10021,-5,14
10848,-1,12
13277,1,12
12781,5,9
8975,8,7
6049,6,6
1015,5,6
-7421,4,5
-11806,1,5
-13342,-2,7
-16548,-2,7
-11552,-5,8
-6146,-6,9
-538,-5,11
6230,-3,11
11765,-1,12
13996,1,12
15252,4,12
14764,7,11
14401,5,10
9849,4,10
3902,1,9
-3155,-1,9
-10673,-3,9
-15286,-8,12
-15780,-11,13
-14399,-8,13
-11263,-4,12
-316,-5,12
5783,-4,11
10208,1,10
13861,4,9
18349,5,8
19241,6,8
16232,7,10
5828,-2,10
-788,-3,9
-7595,-2,8
-9961,-3,7
-11276,-1,6
-13507,3,4
-11437,3,5
-4959,0,5
-4195,-1,7
-1247,-2,10
5217,-6,13
7073,-7,14
8872,-4,13
13121,-1,12
14404,8,9
8320,6,8
2836,4,7
-2410,1,7
-7384,0,7
-12075,-2,7
-13151,-3,7
-11212,-3,8
-10392,-2,8
-8332,-1,8
-2168,-1,9
1488,0,9
4484,1,10
7629,0,10
11812,0,11
11451,2,12
12436,2,12
5546,1,12
522,0,11
-2861,-2,11
-7999,-1,11
-13409,-2,10
-12607,-4,11
-10056,-7,10
-7544,-8,11
-6173,-6,13
-2495,-4,13
5110,-4,10
11346,1,8
15521,5,8
16464,7,7
12303,8,8
6957,7,8
4403,1,8
-2654,-3,8
-9532,-4,8
-10007,-4,9
-11368,-3,7
-10279,-1,6
-7234,1,6
-2924,1,6
-2400,1,8
-1226,0,9
3610,-3,12
5804,-4,12
7461,-3,12
10112,1,12
7555,5,11
6059,4,9
2712,3,8
-1963,1,7
-4985,0,7
-9427,0,6
-10688,-1,7
-9868,-1,9
-8298,-1,9
-5688,-1,9
-3125,-1,10
346,-1,11
3425,0,12
7588,-1,11
10153,0,11
9621,4,11
10400,2,10
5761,2,10
1795,1,11
-3946,0,10
-8312,-4,10
-12756,-6,11
-12046,-8,13
-7845,-12,14
-8374,-11,13
-5499,-3,14
1860,-3,10
10616,1,9
9092,6,7
10479,6,6
11131,5,5
6915,8,6
3490,6,8
72,-1,8
-4375,-4,9
-11699,-3,7
-10731,-3,8
-8096,-3,8
-8586,-1,7
-4855,0,8
-1578,0,9
766,1,11
3126,-1,10
7578,-4,12
10505,-6,14
5589,-2,12
7795,0,11
5601,4,9
4250,6,8
1383,4,6
-2975,3,5
-7148,3,5
-9075,1,4
-9906,0,5
-8974,-1,6
-6310,-2,7
-2114,-5,9
928,-5,11
4688,-3,11
9334,-1,12
9968,0,11
9541,3,11
11736,5,11
9271,6,9
6838,5,10
646,3,10
-4111,-1,10
-9898,-10,13
-12427,-12,15
-13378,-12,15
-7619,-11,13
-2688,-4,12
1090,2,9
10733,2,11
11733,3,8
10508,6,8
10121,5,6
9055,4,7
6377,5,7
719,5,9
-1814,0,9
-4526,-3,8
-8510,-5,9
-9590,-6,8
-6581,-3,10
-3773,0,11
-1295,0,10
3879,-1,11
5393,0,11
6051,0,13
7479,-3,12
9931,-5,12
8565,0,10
5822,2,7
7636,2,6
1996,5,5
-3791,6,4
-4788,3,5
-7218,1,5
-11772,1,5
-12267,-2,6
-7364,-2,7
-3651,-4,9
3792,-5,12
6225,-3,13
8983,-1,13
9762,0,13
10378,2,12
10212,4,12
8665,3,11
6740,3,9
1329,3,9
-4835,2,10
-8897,-2,10
-11803,-4,11
-14132,-9,13
-8194,-12,13
-1524,-10,13
528,-2,12
5554,1,11
14965,0,11
15210,5,8
14520,7,8
15064,4,7
9765,3,6
3636,4,8
-1952,2,8
-3232,-2,9
-9124,-4,8
-12588,-3,8
-12520,-1,7
-5968,-2,7
-2153,0,9
2912,0,11
4241,-2,10
5777,-1,11
9395,0,13
9913,0,11
11633,-2,11
8264,0,10
5108,4,8
2261,4,8
-3036,3,7
-5978,1,7
-8179,0,7
-11208,-1,6
-11744,-3,6
-10848,-1,8
-2877,-1,8
2220,-2,10
5991,-1,11
7629,0,13
9400,1,13
10101,1,11
7376,3,12
6288,2,11
6304,1,10
3266,1,9
-2381,0,9
-6563,0,9
-8976,-3,9
-11444,-5,10
-13989,-6,14
-4804,-12,14
-2726,-8,14
2560,-1,14
8526,1,10
16641,1,9
14713,6,7
12238,8,7
9868,5,5
5785,3,5
24,4,7
-5700,2,7
-8395,-3,9
-12171,-5,8
-15482,-2,7
-12207,-3,8
-6534,-4,11
-2770,-1,12
7064,-2,13
10388,-2,13
12086,0,12
14556,0,13
12704,0,12
8413,0,11
5074,1,8
2368,2,8
-1136,3,7
-5189,2,6
-7957,1,6
-11462,0,5
-10153,-1,5
-10559,0,5
-9293,0,5
-2920,0,6
4929,-1,9
8496,-3,11
11933,-2,13
12212,0,13
9601,1,12
8950,2,12
7001,2,11
3444,4,9
155,3,10
-7065,1,8
-12036,-1,9
-16172,-5,10
-15470,-9,12
-13493,-12,15
-1969,-10,14
