7720,3,9
8136,4,9
3000,-1,7
319,0,7
-2656,0,5
-2301,5,1
-7131,7,1
-1440,11,-1
-7157,10,2
-7605,4,5
-8292,-3,9
-5960,-8,16
-6477,-8,13
420,-8,13
8987,-3,16
6529,4,9
2419,6,8
845,4,14
-6132,0,12
-13098,-15,18
-6684,-11,11
-4800,-4,12
8092,-5,12
2023,1,2
1910,7,2
4477,10,0
1788,8,1
734,7,2
-4941,3,6
-4312,0,9
-3615,-4,10
1885,-4,19
-6245,-6,19
-4161,-7,15
-10061,-3,13
-4263,-2,11
-1831,-6,10
-559,-3,12
6112,-1,10
7930,0,9
6003,1,12
1628,0,10
1293,0,8
1732,3,4
-2290,8,0
-1566,10,-1
-3888,10,-2
-6492,9,0
-7717,2,6
-11330,-3,8
-5867,-8,14
-1700,-3,13
9217,-1,13
9345,5,8
-147,8,9
2118,4,14
-8017,-4,15
-15304,-10,19
-11004,-16,19
-11952,-14,14
-2498,-7,8
4432,2,3
6995,8,1
3968,10,-2
162,8,2
4,6,0
4,2,5
-4334,2,11
-4808,-2,9
3012,-4,15
-5006,-5,15
5661,-2,16
-6434,-5,15
-11157,-8,18
-11828,-10,14
-11482,-11,17
-2823,-8,19
4451,-3,10
13492,4,9
9779,9,3
7552,2,4
1020,0,3
-5365,5,0
-6378,9,0
-7805,7,0
-7824,8,0
-5542,8,3
-11428,3,7
-5891,-4,9
-7002,-9,10
-6873,-8,16
6958,-7,16
8611,1,12
3120,3,15
2452,4,13
-2656,-5,18
-10303,-8,15
-8333,-12,17
-1026,-8,14
-2760,2,3
-354,1,6
4403,3,2
-85,8,-2
-1138,9,2
34,5,3
-1938,2,6
-3663,2,9
-2487,0,11
132,-2,12
2526,-4,18
-616,-2,15
-9478,-9,15
-4149,-9,17
-8316,-3,15
1211,-11,13
5014,-4,11
3651,0,11
11378,-1,9
9798,1,8
5290,4,6
4277,3,2
-744,5,1
-4084,9,0
-10728,9,-2
-4634,10,0
-10711,5,0
-7246,1,7
-8805,-2,8
-9053,-6,11
-3290,-10,15
4057,2,9
9708,6,11
3048,5,15
-7038,0,15
-12615,-11,19
-13462,-16,19
-10871,-15,18
-9329,-9,12
-3174,-1,12
5877,1,0
4833,6,1
1213,9,0
3594,7,3
-2723,4,4
-7641,0,9
-1343,-1,13
-4248,-1,13
-1887,-4,15
2401,-5,17
-1469,-4,15
-408,-5,15
-8899,-9,12
-6337,-6,15
-5442,-4,12
87,-7,12
7929,-2,10
9587,4,10
6234,1,4
-208,0,6
-1400,1,4
-3533,8,0
-3360,10,0
-6028,10,-2
-6322,8,2
-9471,4,3
-8429,-2,9
-6077,-7,14
-11363,-6,11
-1510,-10,17
11000,-5,16
5293,2,13
4618,1,11
-6671,0,14
-11226,-3,13
-10019,-6,14
-5098,-10,16
-7572,-6,10
-9082,-3,11
2216,-7,11
2314,-1,5
-444,6,3
3448,10,2
5410,10,3
187,7,6
-4258,3,11
-1623,-8,19
-5805,-7,16
-1328,-8,15
-4471,-4,14
-1479,0,12
-3417,2,7
-4013,0,8
-86,-4,9
-2767,-4,11
-2400,-7,14
5209,-6,10
5616,-1,12
4250,2,10
4059,2,5
8322,5,0
-5287,9,-1
-7398,5,0
-9552,2,5
-5518,0,6
-11669,-1,8
-4217,-3,15
-665,-6,12
1960,-2,10
4101,1,12
7296,7,12
-1507,0,12
-10376,-2,16
-13365,-9,17
-9621,-10,16
-3569,-5,13
6442,-1,12
-679,1,7
2168,0,5
4382,0,2
1380,4,3
-3057,6,2
2060,5,2
-630,3,7
-923,5,8
-473,0,11
-2052,-6,14
-3376,-5,14
-3176,-7,16
-5715,-4,12
-4942,-5,13
-3923,-3,13
-6696,-6,14
2886,-6,10
2121,-2,13
6412,-1,10
8850,0,8
3693,0,8
1443,5,1
2178,8,2
-2884,9,0
-10057,7,-2
-5255,6,3
-10164,2,4
-9951,0,6
-8862,-3,12
-4773,-5,13
-4035,-5,13
4244,7,12
1037,3,13
-2399,-1,16
-8431,-9,18
-12219,-11,19
-10623,-11,18
-5344,-9,14
2210,-2,10
2532,5,6
2982,0,5
5980,2,0
936,6,0
-1627,7,2
-1376,5,3
-1483,2,8
-4480,3,10
-3126,-4,14
-1363,-5,14
-1956,-3,13
-6106,-6,13
-2361,-4,15
-8382,-2,11
-7090,-4,15
-687,-8,14
-728,-5,13
2065,-7,15
6255,-5,10
10760,3,7
4797,6,1
717,8,1
-2702,11,0
-10596,8,-1
-6633,5,1
-12275,0,5
-10379,0,8
-8707,-1,8
-5772,-6,13
-523,-3,11
1984,0,9
7079,4,11
2770,6,11
-223,2,15
-7088,-9,19
-11783,-16,19
-6325,-14,18
490,-5,12
766,4,7
8884,3,5
3199,5,-1
-669,8,-1
-1039,8,-1
-5247,6,1
-2789,4,5
-5446,1,8
-1390,0,15
-4448,-2,12
-3891,-6,16
1394,-4,17
-3480,-3,13
-3732,-5,12
-4546,-3,12
-541,-6,14
172,-6,12
5140,-5,16
3508,-5,13
5508,-1,12
7413,2,7
4254,2,4
2129,5,1
-1111,10,-4
-2038,12,0
-8148,8,0
-8780,5,0
-6588,0,8
-11822,-1,8
-8779,-4,12
-1876,-4,11
4933,0,12
11116,5,12
1446,5,13
-8071,-2,16
-10036,-12,19
-13571,-12,19
-11030,-10,18
-4736,-10,13
-2544,4,4
5051,0,5
2968,0,2
-1228,7,0
-911,9,0
-94,8,2
344,6,6
-3810,4,7
-3042,1,13
-1846,-7,15
-6725,-9,13
-2644,-7,16
-364,-5,14
-2654,-4,11
-3874,1,13
-5742,0,11
-229,-6,14
-1087,-5,12
-1204,-6,11
8422,-1,7
5984,3,7
5588,5,3
5363,4,2
-5424,8,0
-6594,9,-1
-6916,5,1
-10590,2,4
-2533,0,6
-10203,2,6
-2733,-4,12
-1748,-4,9
-45,0,11
5395,3,12
1776,1,12
-5544,0,17
-11451,-6,18
-12520,-11,18
-6338,-7,15
814,-2,10
1092,3,9
4279,1,5
677,1,1
-908,3,3
-1708,5,0
-4368,5,2
-2650,6,5
-2282,5,7
-427,3,11
-6079,0,10
-3943,-7,16
-3528,-7,17
-4597,-4,13
-1891,-5,16
-1206,0,13
-2216,-4,13
219,-7,14
3948,-5,14
2429,-5,12
8845,-5,13
8069,0,5
6948,5,6
4820,7,2
3994,8,-1
-582,7,1
-8652,6,0
-5329,4,3
-7849,0,4
-6965,1,7
-9435,0,8
-1655,-4,11
-742,-4,10
-333,1,11
4358,3,14
960,-3,18
-12123,-11,19
-11690,-14,19
-10768,-11,18
-5393,-5,11
4,0,9
1665,3,5
4388,2,3
2619,2,0
-1752,5,1
-3872,6,1
-3143,7,3
-1465,5,8
-4996,4,8
-1579,-1,14
-2748,-5,17
-3908,-7,15
-3327,-6,12
-192,-1,14
2030,1,12
-1445,1,13
-400,-4,11
1131,-3,13
991,-7,16
4336,-8,12
3958,-5,10
3584,0,8
5493,5,4
4668,7,2
-2841,8,0
-4091,7,0
-6708,4,1
-7501,0,5
-7410,-1,8
-7308,-1,11
833,-4,12
2098,-1,9
9081,3,12
1722,5,12
-2433,1,11
-13523,-6,14
-12885,-5,18
-12079,-7,16
-9509,-8,13
-1915,-5,14
-1629,0,9
-3935,-4,8
1612,0,4
-1684,5,4
353,10,2
1576,7,3
1798,7,7
-2908,4,10
-687,-4,15
-9674,-11,18
-8161,-11,19
-6436,-10,13
667,-3,12
3082,6,10
7530,8,2
7685,8,5
1481,1,9
-4664,-4,12
-4380,-12,17
-1548,-10,15
4373,-1,10
10252,4,8
3816,7,1
4217,9,-1
1365,6,-1
-5693,2,2
-3287,0,7
-10918,-1,5
-5133,-1,10
-4508,0,11
-1242,0,9
665,1,8
6640,1,12
-3191,3,12
-11639,-1,14
-13395,-5,16
-11971,-1,14
-6354,-5,15
2921,-5,14
-3281,1,9
277,0,11
6461,-8,9
-213,-3,5
-631,5,5
2627,9,1
1468,7,2
-15,7,4
-1113,7,8
-1414,-1,13
-5970,-8,13
-4029,-12,19
-7327,-6,12
6609,3,9
641,8,5
4995,8,8
-274,0,9
-4758,-4,12
-6446,-12,17
-5022,-15,17
1877,-12,16
3812,-2,9
9212,3,8
7348,8,1
2779,9,0
-3415,6,1
-4780,2,2
-4859,-2,7
-12167,-1,7
-4731,-2,7
-3948,2,9
2413,3,6
1661,3,9
-1874,2,13
-8459,1,10
-20079,-13,17
-11381,-12,19
-12814,-6,16
-1342,-3,15
1581,-3,11
8920,5,8
2917,4,9
6060,-3,4
61,-1,5
-2736,3,3
-1382,5,1
-2904,7,6
-6057,5,9
-406,0,12
-6775,-7,12
-6375,-8,15
-4742,-6,16
1762,-5,12
-159,0,11
436,5,8
5645,2,11
-1267,-5,12
-5274,-5,15
-500,-10,15
-1470,-11,15
1356,1,7
5868,4,6
8030,6,2
1938,8,-1
-2097,7,2
-5087,0,3
-4223,0,7
-11880,0,5
-9129,2,6
247,-2,11
-1601,1,6
-1680,5,9
-882,1,10
-2921,0,13
-10276,-3,16
-14011,-10,19
-9429,-16,19
-9509,-4,17
5768,0,9
5525,3,5
9030,3,6
4514,3,0
1641,3,1
-2629,4,0
-3367,5,2
-3501,3,5
-483,3,7
-2664,4,10
-6372,-1,12
-465,-7,12
-1070,-5,14
-2070,-2,15
-432,-3,11
-2422,-1,13
-4563,1,14
-1309,-9,14
-2438,-5,15
1172,-6,15
3616,-6,11
4514,-1,8
5957,4,5
6164,6,3
3725,5,3
-3844,5,2
-3801,3,4
-5971,0,5
-6191,-2,5
-4930,3,6
-5296,0,7
-2480,0,7
-740,0,7
-759,4,10
-1164,1,12
-7396,-2,14
-12227,-8,19
-10267,-11,18
-1759,-7,17
-1235,0,8
3622,5,9
7621,1,7
3592,1,3
-671,2,2
-64,5,2
-3968,5,3
-4408,7,2
-3639,6,5
-160,3,10
-3228,0,10
-11873,-4,13
-3057,-10,18
-1134,-8,13
-887,0,11
2054,2,11
345,2,11
-2523,-2,11
1348,-6,16
-3363,-6,12
-3025,-7,13
1421,-7,11
3172,0,6
6307,5,6
4094,6,1
4233,4,3
-3616,2,0
-5363,1,5
-3410,-1,7
-4499,-1,3
-3127,7,8
-472,1,8
3793,-1,8
-2632,0,16
-1704,0,14
-19835,-10,16
-15116,-9,19
-10579,-8,16
-5323,-4,15
-3678,-1,7
6656,4,8
523,1,9
7154,-4,5
475,-3,5
-3607,1,6
1005,5,3
-2199,7,1
-1587,10,4
-3643,9,5
-298,1,12
-3432,-6,12
-3617,-13,19
-856,-10,14
496,0,13
6547,7,11
1580,6,8
-420,3,11
-3081,-1,10
-2407,-6,15
-3735,-9,14
-3479,-10,12
2059,-7,14
2557,0,7
7619,6,2
2489,5,3
1066,1,2
-6049,0,5
-4937,-3,8
-3885,-3,5
-2150,3,8
1860,1,10
1847,0,8
2443,0,9
1958,4,13
-6558,0,11
-15048,-8,13
-14730,-9,16
-12776,-6,15
-5845,-4,14
-3680,-1,10
-243,2,8
2648,-3,8
-1336,-3,5
-275,1,5
-127,4,4
-1919,6,1
-351,8,4
-2954,9,6
726,1,11
-3888,-4,12
-13397,-6,15
-3031,-12,19
-3880,-9,10
467,-1,13
8106,7,9
5044,7,6
2197,5,10
-1594,0,9
-1672,-5,15
-7741,-11,13
999,-9,14
4176,0,8
10177,7,6
5716,6,1
4940,5,3
-215,1,4
-6461,-2,7
-7597,-7,11
-2168,-5,8
-4324,3,7
3248,2,9
7361,3,7
2232,3,10
-5205,3,10
-12567,-2,11
-17924,-9,15
-17796,-5,15
-3778,-3,11
-1585,2,8
3165,3,11
1023,-2,8
4741,-5,8
710,-1,8
-873,2,6
2151,3,4
-2524,7,1
-3275,9,5
-3524,6,6
-2063,-3,11
-6639,-5,11
-11450,-5,13
-1723,-10,17
581,-7,9
-111,4,8
4989,8,9
3753,2,12
-4064,-4,10
-5416,-9,18
-2950,-11,18
-4398,-12,12
1917,-6,14
7045,3,7
6956,9,5
5534,7,1
2038,5,2
-1470,0,6
-5978,-4,7
-5590,-9,10
-6564,-2,7
1433,1,6
822,3,8
4672,5,11
3778,2,9
-8217,-6,11
-17599,-12,14
-16035,-10,16
-6172,-4,13
-2831,0,10
912,5,9
3434,6,7
5263,-1,11
634,-2,7
709,0,7
-3784,1,5
-354,4,5
-610,6,3
-2224,8,5
-2786,5,8
-6271,-2,12
-8801,-5,13
-5149,-8,14
532,-3,11
3579,6,8
4081,6,9
2996,4,10
-1782,-3,12
-509,-6,14
-7946,-8,16
-2205,-12,18
984,-10,10
3070,1,9
8977,7,5
8079,8,0
2989,6,1
-1672,4,3
-2925,-3,8
-7251,-9,11
-9503,-4,10
1208,0,8
3636,3,10
4037,6,8
-3825,3,9
-10672,-1,13
-16923,-9,13
-15493,-12,17
-10763,-8,15
-6029,-3,10
3388,2,9
2599,5,7
6429,1,7
2530,0,7
294,0,4
-3991,2,5
1562,4,5
-2008,6,5
-5952,3,10
-4734,-1,11
-5996,-4,15
-2837,-9,14
-3315,-7,13
1488,0,12
3118,4,8
-455,5,9
30,5,11
973,-2,12
-4846,-8,13
-5295,-8,16
417,-9,15
-662,-10,10
3729,0,3
6440,7,3
8187,9,0
1283,4,3
1603,-1,9
-8601,-7,9
-3968,-9,13
-9235,-3,10
-2751,-1,11
7449,0,11
352,4,9
-3160,6,9
-8203,0,9
-10980,-5,13
-15062,-7,12
-8991,-8,14
-5469,-6,14
-662,3,11
1485,0,7
2742,0,7
78,0,5
77,4,4
-261,5,2
-477,3,3
1755,6,7
-2217,4,7
-720,-4,13
-6491,-4,14
-8400,-7,14
-1120,-9,14
355,-2,11
266,6,6
4584,7,6
-856,5,8
-2628,2,9
-4424,-8,14
-6071,-12,17
-6894,-9,14
2721,-10,16
117,-5,9
10372,5,4
7326,11,0
4907,7,1
4179,1,5
-6843,-4,12
-5114,-11,11
-8856,-6,13
-3921,-3,13
1658,0,8
4098,1,12
67,7,8
-4041,4,8
-11604,-5,12
-15742,-7,15
-10147,-9,16
-6030,-8,14
2883,4,7
5089,4,8
2376,0,6
2722,2,3
-1009,2,5
-3939,4,4
-2490,3,3
-1792,6,6
-4771,6,7
-623,0,9
-2117,-3,14
-6014,-6,15
-296,-7,13
1411,-3,11
-542,4,9
934,5,6
-571,4,9
-4235,1,12
-2348,-8,15
-7219,-10,12
-5344,-9,13
1403,-5,8
5890,4,9
6240,10,-1
6612,10,0
301,7,2
-2284,3,3
-4732,-5,12
-9885,-9,12
-9183,-6,13
-5458,-6,15
-1820,-2,12
2175,0,12
2963,5,10
-2010,4,10
-6581,-4,15
-9448,-8,14
-6084,-8,14
-688,-3,13
-204,4,9
2765,4,9
2997,0,5
-21,3,3
-3843,3,2
-518,4,0
-3264,4,3
-1233,5,5
-5744,4,7
-3369,0,10
-2281,-3,11
-3887,-5,16
1178,-5,12
794,-3,9
3121,3,10
-1254,5,7
-2094,4,14
-4123,-4,14
-13094,-9,15
1048,-11,19
-3965,-4,10
3432,-3,10
10720,1,5
5053,8,1
7096,11,1
1570,7,0
425,6,6
-7080,0,9
-10963,-7,14
-5607,-10,16
-9037,-5,15
5535,-3,12
1597,0,11
-3177,1,10
-6264,0,9
-2780,-3,13
-7042,-3,10
-5668,-5,13
-411,-2,12
614,0,10
837,3,10
-1941,-2,6
-28,-2,7
-3057,4,1
-4253,7,1
-1547,4,4
-4974,7,1
-2754,6,6
-3974,0,12
-6086,-7,17
-3507,-8,15
2986,-6,13
4285,0,8
2544,8,6
5068,9,6
-746,5,8
-8566,0,10
-7320,-7,15
-13701,-12,14
-2910,-12,19
-4774,-6,13
147,-4,11
12428,2,-1
5934,12,1
4266,7,1
-3995,3,4
-3936,-1,12
-7567,-9,14
-6022,-10,17
-3429,-4,15
3715,-4,16
-61,-2,13
-3820,-1,6
-1634,3,7
-8779,1,5
-577,-2,9
-3437,-3,7
-2643,0,13
-1146,-3,10
-2645,0,13
-2087,-3,7
-184,0,6
574,5,2
-1563,8,0
148,5,2
-6188,5,3
-5832,2,10
-6062,-3,13
-8470,-8,14
-4076,-6,16
-2312,-4,13
6078,-2,12
4828,4,4
2632,9,5
1657,8,7
-5222,3,8
-9834,-3,18
-9934,-12,15
2466,-11,19
-85,-5,12
1136,-3,10
14461,3,6
4710,8,0
3651,10,2
3872,6,1
-4986,2,6
-2439,-2,13
-5597,-9,13
-5111,-8,16
-4090,-3,12
5044,-3,11
-164,0,6
-4498,0,8
-10991,0,6
-4355,-3,12
-3047,-4,9
-2600,0,12
1703,0,11
1972,-1,8
-2096,0,10
375,-1,6
-1460,0,6
-3549,5,2
-4500,8,1
-2484,5,4
-6486,4,4
-6968,1,9
-3835,-4,13
-8250,-5,13
-2869,-5,13
3704,-1,11
4796,5,8
1070,8,5
-1512,7,9
-5593,0,10
-11853,-7,13
-5454,-13,19
-8034,-12,13
-2570,-9,18
6800,-4,11
5745,0,5
8632,6,5
8997,11,0
5380,10,2
1948,1,6
-4307,-6,14
-7072,-7,13
-4551,-5,15
-3083,-3,15
1756,-3,13
-3706,-1,13
-7892,-1,7
-5203,-1,10
-8957,-4,11
-2371,-5,12
-332,-5,10
38,0,12
3752,0,8
2588,0,11
-496,0,4
-333,5,3
-2741,7,1
-3768,8,-1
-6501,8,4
-4924,4,6
-8889,-3,9
-5412,-6,14
-7151,-6,15
289,-6,16
6909,-5,12
2584,5,9
4465,8,9
981,7,11
-9726,1,13
-8638,-6,15
-8885,-13,17
-13288,-13,15
3623,-5,9
2746,0,7
7499,6,2
8902,10,0
2834,9,1
-27,8,0
-2380,2,7
-5572,-1,8
-5187,-5,12
-1625,-7,16
-2301,-5,15
